,Date,Day_Of_Week,Show_name,Sold_out?,Web_Date,urls
0,20161009,Sun,Majid Jordan,0,10/9/16,www.930.com/event/1227877-majid-jordan-washington/
1,20161008,Sat,Gang Of Four,0,10/8/16,www.930.com/event/1190365-faint-washington/
2,20161007,Fri,Classixx,0,10/7/16,www.930.com/event/1241383-neon-indian-classixx-washington/
3,20161006,Thu,The Temper Trap,0,10/6/16,www.930.com/event/1187177-temper-trap-washington/
4,20161005,Wed,Taking Back Sunday,1,10/5/16,www.930.com/event/1255287-taking-back-sunday-washington/
5,20161004,Tue,Warpain,0,10/4/16,www.930.com/event/1219127-warpaint-washington/
6,20161003,Mon,Green Day,1,10/3/16,www.930.com/event/1309999-green-day-washington/
7,20161002,Sun,Bastille,1,10/2/16,www.930.com/event/1273937-bastille-washington/
8,20161001,Sat,The Growlers,0,10/1/16,www.930.com/event/1266855-growlers-washington/
9,20160930,Fri,Kaleo,1,9/30/16,www.930.com/event/1210349-kaleo-washington/
10,20160929,Non,Bob Moses,Bad URL, found,www.pollstar.com/news_article.aspx?ID=826315
11,20160928,Wed,Buzzcocks,0,9/28/16,www.930.com/event/1217633-buzzcocks-washington/
12,20160927,Tue,Yun,0,9/27/16,www.930.com/event/1290697-yuna-washington/
13,20160923,Non,Blind Pilot,Bad URL, found,https://www.ticketfly.com/purchase/event/1201495
14,20160921,Wed,Lush,0,9/21/16,www.930.com/event/1058153-lush-washington/
15,20160919,Mon,Okkervil River,0,9/19/16,www.930.com/event/1193225-okkervil-river-washington/
16,20160918,Sun,Built to Spi,0,9/18/16,www.930.com/event/1204435-built-spill-washington/
17,20160916,Non,Cher,Bad URL, found,www.930.com/concerts/
18,20160915,Thu,Angel Olsen,1,9/15/16,www.930.com/event/1206663-angel-olsen-washington/
19,20160914,Non,Ra Ra Riot,Bad URL, found,https://en.wikipedia.org/wiki/File:RaRaRiot-930-Club.jpg
20,20160913,Non,Ra Ra Riot,Bad URL, found,https://en.wikipedia.org/wiki/File:RaRaRiot-930-Club.jpg
21,20160912,Sat,Young The Giant,0,9/16/17,www.930.com/event/1436563-young-giant-home-strange-columbia/
22,20160911,Non,Peaches,Bad URL, found,www.930.com/concerts/
23,20160910,Sat,Marian Hill,0,9/10/16,www.930.com/event/1225053-marian-hill-washington/
24,20160909,Non,Echo & the Bunnymen,Bad URL, found,https://www.ticketfly.com/purchase/event/1152225
25,20160908,Non,Dinosaur Jr.,Bad URL, found,www.outerbatteryrecords.com/products/dinosaur-jr-bug-live
26,20160907,Non,Of Montreal,Bad URL, found,www.dbknews.com/.../review-of-montreal-presents-a-flashy-spectacle-at-the- 930-club/
27,20160906,Tue,Television,0,9/6/16,www.930.com/event/1201267-television-washington/
28,20160904,Non,Diggy Simmons,Bad URL, found,wpgc.cbslocal.com/.../photos-of-diggy-simmons-shade-jenifer-more-at-930- club/
29,20160903,Fri,Flume,1,9/2/16,www.930.com/event/1201241-flume-washington/
30,20160902,Fri,Flume,1,9/2/16,www.930.com/event/1201241-flume-washington/
31,20160901,Non,The Claypool Lennon Delirium,Bad URL, found,www.setlist.fm/setlists/the-claypool-lennon-delirium-5bc21b78.html
32,20160831,Wed,Banks & Steelz,0,8/31/16,www.930.com/event/1216595-banks-steelz-paul-banks-washington/
33,20160827,Non,Justin Trawick,Bad URL, found,goosecreekmusic.com/artists/justin-trawick/
34,20160825,Thu,Skye,0,8/25/16,www.930.com/.../1216135-skye-ross-from-morcheeba-washington/
35,20160824,Non,Jonny Two Bags,Bad URL, found,www.setlist.fm/setlists/jonny-2-bags-wickersham-1bd4b540.html
36,20160821,Non,The Bangles,Bad URL, found,www.930.com/concerts/
37,20160819,Non,Rusted Root,Bad URL, found,www.washingtontimes.com/.../rusted-root-pittsburgh-returns-washington-dcs- 930-/
38,20160814,Non,Honne,Bad URL, found,https://www.ticketfly.com/purchase/event/1184507
39,20160813,Non,Belly,Bad URL, found,www.ticketfly.com/purchase/event/1104141
40,20160812,Non,L7,Bad URL, found,https://www.ticketfly.com/purchase/event/1144469
41,20160811,Thu,Dr. Dog,1,1/22/15,www.930.com/event/707943-dr-dog-washington/
42,20160810,Thu,Dr. Dog,1,1/22/15,www.930.com/event/707943-dr-dog-washington/
